,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
5861,25.99,6.0,475.0,97.9,2.0,17,177.7258064516129,2021
5862,21.99,6.0,621.0,98.5,2.0,17,177.7258064516129,2021
5863,29.97,6.0,1569.0,96.0,3.0,8,56.774193548387096,2015
5864,65.55,0.0,1938.0,99.4,2.0,8,32.0,2015
5865,106.24,2.0,3099320.0,98.8,2.0,10,128.0,2016
5866,129.98,1.0,154477.0,98.0,2.0,10,32.0,2016
5867,199.0,5.0,60973.0,100.0,2.0,9,64.0,2016
5868,68.0,1.0,646.0,96.2,2.0,10,32.0,2016
5869,17.98,0.0,128.0,99.1,2.0,7,35.82608695652174,2014
5870,209.95,1.0,915.0,100.0,3.0,9,64.0,2016
5872,149.0,1.0,60973.0,100.0,2.0,11,64.0,2017
5873,129.99,1.0,1936.0,100.0,0.0,7,64.0,2014
5875,199.99,1.0,3649.0,100.0,0.0,7,16.0,2014
5876,359.95,1.0,2414.0,98.3,2.0,15,64.0,2019
5877,9.99,6.0,486.0,95.8,3.0,9,65.08936170212766,2016
5878,19.99,6.0,475.0,97.9,2.0,17,177.7258064516129,2021
5879,457.88,6.0,168.0,97.1,2.0,13,128.0,2018
5880,451.99,3.0,54737.0,99.4,3.0,16,64.0,2020
5881,99.91,0.0,2941.0,99.0,2.0,14,64.0,2018
5882,14.99,0.0,1.0,66.7,0.0,6,20.0,2013
5883,14.99,0.0,1.0,66.7,0.0,6,20.0,2013
5884,14.99,0.0,1.0,66.7,0.0,6,20.0,2013
5885,140.24,1.0,1628.0,98.0,2.0,9,64.0,2016
5886,282.95,5.0,3318.0,99.6,2.0,11,64.0,2017
5887,13.29,6.0,486.0,95.8,3.0,11,92.72343149807938,2017
5888,163.99,3.0,1938.0,99.4,2.0,8,128.0,2015
5889,101.99,3.0,54737.0,99.4,3.0,7,64.0,2014
5890,17.99,6.0,86.0,100.0,2.0,13,89.74946921443737,2018
5891,25.0,0.0,5509.0,98.0,0.0,3,16.0,2011
5892,199.59,6.0,190.0,98.6,2.0,8,64.0,2015
5893,99.99,1.0,88.0,100.0,0.0,8,128.0,2015
5894,89.99,1.0,27605.0,96.8,3.0,7,64.0,2014
5895,34.5,6.0,1555.0,96.6,3.0,14,177.84242424242424,2018
5896,24.0,1.0,5680.0,99.4,2.0,6,20.0,2013
5897,52.8,1.0,5680.0,99.4,2.0,7,35.82608695652174,2014
5898,14.95,5.0,608.0,100.0,2.0,10,78.54110612855007,2016
5900,275.0,5.0,80245.0,99.7,2.0,13,64.0,2018
5901,239.99,1.0,154477.0,98.0,2.0,13,128.0,2018
5902,29.44,6.0,615.0,98.2,2.0,17,177.7258064516129,2021
5903,80.99,1.0,48.0,100.0,0.0,7,16.0,2014
5904,119.99,1.0,50536.0,98.7,2.0,7,35.82608695652174,2014
5905,25.0,0.0,257.0,100.0,0.0,9,16.0,2016
5906,22.64,6.0,1543.0,96.9,3.0,10,78.54110612855007,2016
5908,26.96,0.0,2349.0,99.2,0.0,7,64.0,2014
5909,57.6,1.0,5680.0,99.4,2.0,7,35.82608695652174,2014
5910,365.59,6.0,190.0,98.6,2.0,11,256.0,2017
5911,579.0,1.0,356231.0,97.1,2.0,16,128.0,2020
5912,21.99,6.0,615.0,98.2,2.0,14,177.84242424242424,2018
5913,20.0,0.0,397.0,100.0,0.0,4,22.93975903614458,2012
5914,122.22,1.0,3651.0,100.0,0.0,11,64.0,2017
5915,279.31,1.0,1382.0,100.0,2.0,13,64.0,2018
5916,379.0,1.0,655.0,99.1,2.0,13,64.0,2018
5917,399.99,4.0,43976.0,99.0,2.0,16,138.7663551401869,2020
5918,63.75,1.0,132907.0,99.8,2.0,7,64.0,2014
5919,115.0,1.0,2351.0,100.0,0.0,11,64.0,2017
5920,65.0,0.0,4254.0,99.5,2.0,10,128.0,2016
5921,14.39,0.0,1481.0,97.7,0.0,7,35.82608695652174,2014
5922,99.99,4.0,54737.0,99.4,3.0,8,64.0,2015
5923,77.0,1.0,5147.0,99.3,2.0,8,16.0,2015
5924,44.17,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
5925,13.29,6.0,486.0,95.8,3.0,11,92.72343149807938,2017
5926,163.99,3.0,1938.0,99.4,2.0,8,128.0,2015
5927,25.16,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
5928,44.17,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
5929,399.99,4.0,43976.0,99.0,2.0,16,138.7663551401869,2020
5930,13.99,6.0,485.0,98.9,3.0,14,177.84242424242424,2018
5931,63.75,1.0,132907.0,99.8,2.0,7,64.0,2014
5932,115.0,1.0,2351.0,100.0,0.0,11,64.0,2017
5933,65.0,0.0,4254.0,99.5,2.0,10,128.0,2016
5934,14.39,0.0,1481.0,97.7,0.0,7,35.82608695652174,2014
5935,99.99,4.0,54737.0,99.4,3.0,8,64.0,2015
5936,593.0,1.0,80245.0,99.7,2.0,15,512.0,2019
5937,309.79,6.0,72.0,96.4,2.0,11,92.72343149807938,2017
5938,33.59,0.0,1252.0,98.1,2.0,7,16.0,2014
5939,199.95,5.0,8258.0,100.0,2.0,11,64.0,2017
5940,14.24,6.0,486.0,95.8,3.0,15,124.43806104129264,2019
5941,25.77,6.0,1600.0,97.2,3.0,13,89.74946921443737,2018
5942,523.0,1.0,80245.0,99.7,2.0,16,64.0,2020
5944,222.99,6.0,95.0,96.6,2.0,8,64.0,2015
5945,309.69,6.0,86.0,95.9,2.0,11,64.0,2017
5946,279.99,3.0,109314.0,98.5,2.0,13,64.0,2018
5947,89.95,1.0,82193.0,98.4,3.0,7,16.0,2014
5948,170.0,1.0,31.0,100.0,0.0,10,128.0,2016
5950,59.5,1.0,132907.0,99.8,2.0,8,32.0,2015
5951,325.0,1.0,10.0,100.0,0.0,15,64.0,2019
5952,219.65,6.0,56.0,100.0,2.0,8,64.0,2015
5953,31.25,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
5954,9.99,6.0,310.0,98.0,3.0,9,65.08936170212766,2016
5955,750.0,0.0,1099.0,100.0,0.0,17,128.0,2021
